Plant Species,Compound,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Cucumber,PFUnDA,Carboxylate,564.09,0.54,4.0,2232.0,0.09553,0.015379,0.161
Cucumber,PFDoDA,Carboxylate,614.1,0.54,8.76,2232.0,0.06859,0.001687,0.0246
Cucumber,HPFO-DA,Carboxylate,330.5,-0.73,5.41,2232.0,0.00182,0.010565,5.8049
Cucumber,HPFO-TA,Carboxylate,496.076,-1.29,8.69,2232.0,0.13532001015228426,0.001844,1.2684520512820512
Cucumber,PFBS,Sulfonate,300.1,-1.61,2.79,2232.0,0.00383,0.015348,4.0073
Cucumber,PFHxS,Sulfonate,400.1,-1.64,2.2,2232.0,0.004,0.014284,3.571
Cucumber,PFOS,Sulfonate,500.1,-1.64,5.61,2232.0,0.03581,0.011896,0.3322
Cucumber,8:2 Cl-PFESA,Sulfonate,670.67,1.96,6.64,2232.0,0.134894,0.011915169897959186,1.2684520512820512
Cucumber,6:2 FTSA,Sulfonate,428.16,1.23,3.73,2232.0,0.0094722,0.022556,2.3813
Cucumber,8:2 FTSA,Sulfonate,528.18,1.33,5.22,2232.0,0.042252,0.015167,0.359
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,24.0,0.00113,0.0033,2.9204
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,48.0,0.00265,0.00596,2.2491
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,72.0,0.00287,0.00836,2.9129
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,96.0,0.0052,0.01478,2.8423
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,144.0,0.00336,0.01268,3.7738
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,24.0,0.00236,0.00158,0.6695
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,48.0,0.00354,0.00563,1.5904
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,72.0,0.00419,0.00848,2.0239
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,96.0,0.00541,0.00912,1.6858
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,144.0,0.00641,0.01146,1.7878
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,24.0,0.00423,0.00024,0.0567
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,48.0,0.00657,0.00038,0.0578
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,72.0,0.00619,0.00046,0.0743
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,96.0,0.00868,0.00086,0.0991
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,144.0,0.0101,0.00105,0.104
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,24.0,0.00675,0.0001,0.0148
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,48.0,0.00903,9e-05,0.01
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,72.0,0.0099,0.00012,0.0121
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,96.0,0.01529,0.00038,0.0249
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,144.0,0.01311,0.00036,0.0275
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,24.0,0.01463,0.00013,0.0089
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,48.0,0.01902,0.00026,0.0137
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,72.0,0.01905,0.00015,0.0079
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,96.0,0.02839,0.00026,0.0092
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,144.0,0.02961,0.00031,0.0105
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,24.0,0.02134,2e-05,0.0009
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,48.0,0.03003,9e-05,0.003
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,72.0,0.04016,0.00018,0.0045
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,96.0,0.03581,0.00022,0.0061
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,144.0,0.07405,0.00031,0.0042
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,24.0,0.00104,0.00241,2.3173
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,48.0,0.0022,0.00426,1.9364
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,72.0,0.00352,0.00612,1.7386
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,96.0,0.00251,0.00658,2.6215
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,144.0,0.00377,0.00943,2.5013
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,24.0,0.00382,0.00193,0.5052
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,48.0,0.0068,0.00439,0.6456
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,72.0,0.0123,0.00741,0.6024
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,96.0,0.01345,0.00718,0.5338
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,144.0,0.01458,0.00817,0.5604
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,24.0,0.01209,0.00027,0.0223
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,48.0,0.01404,0.00034,0.0242
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,72.0,0.02061,0.00046,0.0223
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,96.0,0.01971,0.00063,0.032
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,144.0,0.0231,0.00091,0.0394
Lettuce,PFBA,Carboxylate,214.1,-0.21,1.43,1080.0,0.25,0.17,0.68
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,1080.0,0.13,0.063,0.4846
Lettuce,PFHxA,Carboxylate,314.1,0.2,2.85,1080.0,0.015,0.0097,0.6467
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,1080.0,0.04,0.0056,0.14
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,1080.0,0.17,0.0094,0.0553
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,1080.0,0.91,0.014,0.0154
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,1080.0,1.1,0.0045,0.0041
Lettuce,PFUnDA,Carboxylate,564.09,0.54,4.0,1080.0,1.5,0.0041,0.0027
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,1080.0,0.79,0.0,0.0
Lettuce,PFTrDA,Carboxylate,664.1,0.54,8.76,1080.0,0.5,0.0,0.0
Lettuce,PFTeDA,Carboxylate,714.11,0.54,5.1,1080.0,0.23,0.0,0.0
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,1080.0,0.0055,0.0018,0.3273
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,1080.0,0.14,0.0028,0.02
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,1080.0,1.79,0.0042,0.0023
Spinach,PFBA,Carboxylate,214.1,-0.21,1.43,1320.0,0.012,0.053,4.4167
Spinach,PFPeA,Carboxylate,264.1,-0.8,1.35,1320.0,0.0077,0.058,7.5325
Spinach,PFHxA,Carboxylate,314.1,0.2,2.85,1320.0,0.0046,0.021,4.5652
Spinach,PFHpA,Carboxylate,364.1,0.81,2.05,1320.0,0.011,0.018,1.6364
Spinach,PFOA,Carboxylate,414.1,3.15,3.1,1320.0,0.034,0.012,0.3529
Spinach,PFNA,Carboxylate,414.07,0.23,3.54,1320.0,0.13,0.0096,0.0738
Spinach,PFDA,Carboxylate,464.08,0.4,4.15,1320.0,0.26,0.0021,0.0081
Spinach,PFUnDA,Carboxylate,564.09,0.54,4.0,1320.0,1.0,0.0,0.0
Spinach,PFDoDA,Carboxylate,614.1,0.54,8.76,1320.0,1.5,0.0,0.0
Spinach,PFTrDA,Carboxylate,664.1,0.54,8.76,1320.0,0.79,0.0,0.0
Spinach,PFTeDA,Carboxylate,714.11,0.54,5.1,1320.0,0.28,0.0,0.0
Spinach,PFBS,Sulfonate,300.1,-1.61,2.79,1320.0,0.0017,0.0064,3.7647
Spinach,PFHxS,Sulfonate,400.1,-1.64,2.2,1320.0,0.036,0.0041,0.1139
Spinach,PFOS,Sulfonate,500.1,-1.64,5.61,1320.0,0.3,0.0023,0.0077
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,672.0,0.1274,0.1231,0.9662
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,672.0,0.1088,0.1075,0.9881
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,672.0,0.1274,0.1254,0.9843
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,672.0,0.0945,0.0947,1.002
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,672.0,0.2761,0.2776,1.0054
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,672.0,0.223,0.2239,1.004
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,672.0,0.1792,0.1791,0.9994
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,672.0,0.1237,0.1238,1.0008
Red Chicory,PFBA,Carboxylate,214.1,-0.21,1.43,912.0,0.0019,0.0069,3.6905
Red Chicory,PFBA,Carboxylate,214.1,-0.21,1.43,912.0,0.0015,0.0056,3.788
Red Chicory,PFBA,Carboxylate,214.1,-0.21,1.43,912.0,0.0017,0.007,4.1952
Red Chicory,PFPeA,Carboxylate,264.1,-0.8,1.35,912.0,0.0015,0.0072,4.8751
Red Chicory,PFPeA,Carboxylate,264.1,-0.8,1.35,912.0,0.0014,0.0052,3.611
Red Chicory,PFPeA,Carboxylate,264.1,-0.8,1.35,912.0,0.0013,0.0062,4.7701
Red Chicory,PFBS,Sulfonate,300.1,-1.61,2.79,912.0,0.0024,0.0046,1.9346
Red Chicory,PFBS,Sulfonate,300.1,-1.61,2.79,912.0,0.0028,0.0034,1.2131
Red Chicory,PFBS,Sulfonate,300.1,-1.61,2.79,912.0,0.0025,0.0047,1.8609
Red Chicory,PFHxA,Carboxylate,314.1,0.2,2.85,912.0,0.0024,0.0071,3.0051
Red Chicory,PFHxA,Carboxylate,314.1,0.2,2.85,912.0,0.0022,0.004,1.8642
Red Chicory,PFHxA,Carboxylate,314.1,0.2,2.85,912.0,0.0017,0.0046,2.6389
Red Chicory,PFHpA,Carboxylate,364.1,0.81,2.05,912.0,0.004,0.0041,1.0121
Red Chicory,PFHpA,Carboxylate,364.1,0.81,2.05,912.0,0.0043,0.0063,1.459
Red Chicory,PFHpA,Carboxylate,364.1,0.81,2.05,912.0,0.0029,0.0031,1.0545
Red Chicory,PFOA,Carboxylate,414.1,3.15,3.1,912.0,0.0076,0.0037,0.485
Red Chicory,PFOA,Carboxylate,414.1,3.15,3.1,912.0,0.0115,0.0029,0.2511
Red Chicory,PFOA,Carboxylate,414.1,3.15,3.1,912.0,0.008,0.0026,0.319
Red Chicory,PFNA,Carboxylate,414.07,0.23,3.54,912.0,0.0214,0.0036,0.1687
Red Chicory,PFNA,Carboxylate,414.07,0.23,3.54,912.0,0.0306,0.003,0.0974
Red Chicory,PFNA,Carboxylate,414.07,0.23,3.54,912.0,0.0275,0.0025,0.0913
Red Chicory,PFDA,Carboxylate,464.08,0.4,4.15,912.0,0.0795,0.0032,0.0405
Red Chicory,PFDA,Carboxylate,464.08,0.4,4.15,912.0,0.1116,0.0029,0.0262
Red Chicory,PFDA,Carboxylate,464.08,0.4,4.15,912.0,0.0921,0.0026,0.0286
Red Chicory,PFOS,Sulfonate,500.1,-1.64,5.61,912.0,0.0489,0.0025,0.0519
Red Chicory,PFOS,Sulfonate,500.1,-1.64,5.61,912.0,0.0627,0.0023,0.0373
Red Chicory,PFOS,Sulfonate,500.1,-1.64,5.61,912.0,0.0554,0.0022,0.0396
